codigo_receita;orgao;uniorcam;receita_realizada_jan;receita_realizada_fev;receita_realizada_mar;receita_realizada_abr;receita_realizada_mai;receita_realizada_jun;receita_realizada_jul;receita_realizada_ago;receita_realizada_set;receita_realizada_out;receita_realizada_nov;receita_realizada_dez;meta_1bim;meta_2bim;meta_3bim;meta_4bim;meta_5bim;meta_6bim;caracteristica_peculiar_receita;recurso_vinculado;complemento_recurso_vinculado;fonte_recurso_stn;acompanhamento_execucao_orcamentaria;data_inicial;data_final;data_geracao;cnpj;entidade;arquivo
4.1.1.1.8.02.3.2.02.00.00.00.000;02;0201;103,04;49,46;92,86;21,37;56,37;46,90;32,32;84,43;39,55;65,07;63,86;37,34;151,38;151,38;151,38;151,38;151,38;151,36;000;0020;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.8.02.3.2.03.00.00.00.000;02;0201;61,82;29,68;55,71;12,82;33,82;28,14;19,39;50,65;23,73;39,04;38,32;22,40;90,82;90,82;90,82;90,82;90,82;90,86;000;0040;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.8.02.3.3.00.00.00.00.000;02;0201;203,48;94,19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.107,36;1.107,36;1.107,36;1.107,36;1.107,36;1.107,41;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.8.02.3.3.01.00.00.00.000;02;0201;122,09;56,51;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;664,42;664,42;664,42;664,42;664,42;664,43;000;0001;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.8.02.3.3.02.00.00.00.000;02;0201;50,87;23,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;276,84;276,84;276,84;276,84;276,84;276,85;000;0020;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.8.02.3.3.03.00.00.00.000;02;0201;30,52;14,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;166,10;166,10;166,10;166,10;166,10;166,13;000;0040;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.8.02.3.4.00.00.00.00.000;02;0201;15,04;5,81;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.270,30;1.270,30;1.270,30;1.270,30;1.270,30;1.270,23;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.8.02.3.4.01.00.00.00.000;02;0201;9,02;3,49;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;762,18;762,18;762,18;762,18;762,18;762,14;000;0001;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.8.02.3.4.02.00.00.00.000;02;0201;3,77;1,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;317,58;317,58;317,58;317,58;317,58;317,53;000;0020;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.8.02.3.4.03.00.00.00.000;02;0201;2,25;0,87;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;190,54;190,54;190,54;190,54;190,54;190,56;000;0040;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
